# x psi2_state_0 psi2_state_1 psi2_state_2 psi2_state_3 psi2_state_4 psi2_state_5 psi2_state_6 psi2_state_7
-6.404483569999999681e-02 1.254946267962311641e-33 2.459712302387439899e-32 1.648077867141988257e-34 6.913770009445244007e-34 2.175948857189577372e-34 1.547122831304140743e-32 8.163055597522484049e-34 9.732579416371911371e-33
-6.324427520000000524e-02 1.830502461191569226e-33 2.356619304528927921e-34 3.653307003829571524e-33 1.988340087906024449e-35 9.389306440911818218e-34 4.437951827623817846e-35 1.028682248867765067e-32 5.223550157783957384e-33
-6.244371480000000113e-02 3.514715060833811799e-32 3.804365460270072874e-32 1.140779981442262712e-32 3.588253254385481695e-32 1.693395471136605925e-34 2.153681917043770488e-32 2.318743731577690003e-32 5.472776833773927942e-32
-6.164315430000000262e-02 4.915079268639220776e-33 5.194688870337368492e-34 3.928310704211046707e-35 4.100648543185900264e-33 1.198043223854584161e-32 1.176631952058867861e-36 2.416493609701781000e-32 8.818547531400492976e-34
-6.084259389999999851e-02 2.167707483734625244e-32 2.555284452318298839e-31 1.402333451927498873e-31 3.094190876351843053e-32 2.174110008531986074e-31 3.933497839411810612e-31 1.224149116780150938e-31 2.686967225699391383e-30
-6.004203340000000000e-02 3.768780309203034336e-34 3.807509945062833924e-32 1.238918382671700977e-31 3.480369074232486786e-31 5.772211196671962613e-31 1.725739520531900545e-32 8.322509327784131231e-34 1.753475063451382494e-32
-5.924147300000000282e-02 7.355947485593243431e-31 1.528315209639721230e-30 2.865816114381727213e-31 3.871079957555331220e-34 1.501322966074128160e-31 2.090775465442827916e-30 1.009849842841662325e-30 7.198887511208799334e-31
-5.844091249999999738e-02 8.650105310361517515e-32 2.397878516859345860e-30 5.628479760340409293e-29 3.901028702770577149e-31 5.089884566747704152e-30 1.948360593747874423e-31 2.545558564372993345e-29 6.398580826763737545e-29
-5.764035210000000020e-02 1.188956496242031347e-30 2.548188885681404470e-30 8.911482567348921890e-31 9.108622901031783669e-30 7.274980839011224544e-29 5.641268496372983985e-30 1.664021966396183046e-28 2.604421744024560760e-29
-5.683979160000000169e-02 3.671951369805642431e-29 7.593339912606599933e-29 3.256430077601346725e-30 4.918165311952064170e-30 1.836349215799308123e-32 2.226466969483856866e-30 3.984632604070922569e-29 3.755514990474192621e-28
